Année;Mois;Régulatité composite en %;Période;Ponctualité Origine en %;Axe
2017;4;89.20424865049999;2017-04;85.0345356869;1
2017;7;81.0483870968;2017-07;78.1890858533;1
2017;2;91.64999999999999;2017-02;78.9245982695;2
2017;6;87.6929863255;2017-06;70.2804746494;2
2017;10;89.1827595858;2017-10;82.0088300221;1
2017;9;87.58833121939999;2017-09;82.9048086359;3
2017;6;84.7497299244;2017-06;78.4696466914;3
2017;5;88.9414651244;2017-05;82.9867674858;3
2017;9;85.6313497823;2017-09;70.6997084548;4
2017;11;93.1405265109;2017-11;84.10059676040001;5
2015;8;87.08133971289999;2015-08;66.71842650100001;2
2015;4;91.2295425934;2015-04;74.908328968;2
2015;5;90.975504942;2015-05;74.6388443018;2
2015;10;90.2762936956;2015-10;85.99831508;1
2015;6;86.90364826940001;2015-06;84.1518987342;3
2015;9;87.75573949710001;2015-09;85.6365799762;3
2015;11;90.76393237319999;2015-11;87.3768263677;3
2015;9;90.97569097569999;2015-09;86.7605633803;6
2015;7;91.6845110635;2015-07;83.70340999209999;5
2015;5;95.2430555556;2015-05;87.0506378044;5
2017;1;89.863234111;2017-01;83.47398030939999;1
2017;1;88.7432188065;2017-01;75.30795072789999;2
2016;12;90.63620071679999;2016-12;76.09539656129999;2
2017;2;90.8134141991;2017-02;86.4007782101;1
2016;9;84.2988808427;2016-09;85.4538891897;1
2016;8;87.5459632294;2016-08;84.6262341326;1
2017;1;86.9469026549;2017-01;77.0089285714;4
2017;2;93.36870026529999;2017-02;87.3170731707;6
2016;10;86.7841409692;2016-10;76.821192053;4
2016;9;94.9963208241;2016-09;85.9983079526;5
2016;3;91.91674733789999;2016-03;77.5287356322;2
2015;12;93.33333333329999;2015-12;72.926963207;2
2016;4;92.8546891103;2016-04;85.04742421419999;3
2016;2;91.2694512695;2016-02;86.1822086988;3
2016;2;91.4893617021;2016-02;81.66666666670001;4
2016;1;92.2737306843;2016-01;82.3008849558;4
2015;12;93.727514469;2015-12;87.5;3
2016;1;92.9235880399;2016-01;87.1899145994;6
2016;6;83.5035944003;2016-06;77.488372093;6
2016;3;94.57937346;2016-03;89.27322191990001;5
2017;12;85.6201975851;2017-12;67.5824175824;4
2018;1;89.5;2018-01;86.3;1
2018;1;90.10000000000001;2018-01;85.1;6
2018;1;88.3;2018-01;74.08;4
2018;4;91.7;2018-04;79.0;5
2018;4;89.8;2018-04;82.39999999999999;3
2018;5;88.8;2018-05;82.3;1
2018;5;83.8;2018-05;80.7;6
2018;6;87.6;2018-06;74.0;5
2018;6;85.5;2018-06;79.60000000000001;6
2018;2;88.8;2018-02;73.2;4
